,time,engaged,part_of_team
config_exp_2,5,5,6
config_exp_9,8,5,4
config_exp_1,7,5,6
config_exp_6,.5,6,6
config_exp_5,6,4,4
config_exp_7,6,6,5
config_exp_3,5,6,5
config_exp_12,.5,6,5
config_exp_4,7,6,6
config_exp_11,5,6,6
config_exp_10,7,6,5
config_exp_8,8,6,4
config_exp_1_empshown,1,5,4
config_exp_12_empshown,6,3,2
config_exp_7_empshown,15,4,5
config_exp_8_empshown,11,4,4
config_exp_3_empshown,7.5,4,3
config_exp_2_empshown,9,4,3
config_exp_9_empshown,6,3,3
config_exp_11_empshown,3.5,5,6
config_exp_10_empshown,5,4,3
config_exp_6_empshown,7,4,3
config_exp_4_empshown,9,4,3
config_exp_5_empshown,6,3,3
